,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,sum,volume_m3,area_m2
66,"POLYGON Z ((289581.6143269228 5130229.262592758 0, 289586.6112810579 5130229.088095275 0, 289586.2622860909 5130219.094187004 0, 289581.2653319558 5130219.268684488 0, 289581.6143269228 5130229.262592758 0))",Coverage/Quad,User Created Features,80,-0.000885009765625,3.796783447265625,1.734858994224167,4442,7706.24365234375,86.73123467655651,50.000000000347534
67,"POLYGON Z ((289586.6112810579 5130229.088095275 0, 289591.608235193 5130228.913597791 0, 289591.259240226 5130218.919689521 0, 289586.2622860909 5130219.094187004 0, 289586.6112810579 5130229.088095275 0))",Coverage/Quad,User Created Features,81,0.01641845703125,4.614013671875,2.3448554556808436,4446,10425.227355957031,117.3325009119025,50.000000000347534
68,"POLYGON Z ((289591.608235193 5130228.913597791 0, 289596.6051893281 5130228.739100308 0, 289596.2561943611 5130218.745192038 0, 289591.259240226 5130218.919689521 0, 289591.608235193 5130228.913597791 0))",Coverage/Quad,User Created Features,82,0.508544921875,4.63970947265625,3.3032077925883283,4441,14669.545806884766,165.10090744255962,50.00000000005159
69,"POLYGON Z ((289596.6051893281 5130228.739100308 0, 289601.6021434632 5130228.564602824 0, 289601.2531484962 5130218.570694554 0, 289596.2561943611 5130218.745192038 0, 289596.6051893281 5130228.739100308 0))",Coverage/Quad,User Created Features,83,1.9544677734375,5.10595703125,4.012046590883132,4446,17837.559143066406,200.75585432907084,50.000000000672564
70,"POLYGON Z ((289601.6021434632 5130228.564602824 0, 289606.5990975983 5130228.390105341 0, 289606.2501026313 5130218.39619707 0, 289601.2531484962 5130218.570694554 0, 289601.6021434632 5130228.564602824 0))",Coverage/Quad,User Created Features,84,1.24139404296875,5.102996826171875,3.6599950831188104,4443,16261.358154296875,183.01623123620203,50.000000000347534
71,"POLYGON Z ((289606.5990975983 5130228.390105341 0, 289611.5960517334 5130228.215607857 0, 289611.2470567664 5130218.221699587 0, 289606.2501026313 5130218.39619707 0, 289606.5990975983 5130228.390105341 0))",Coverage/Quad,User Created Features,85,0.534698486328125,5.058441162109375,3.747575596105899,4437,16627.992919921875,187.14258479217025,50.000000000347534
72,"POLYGON Z ((289611.5960517334 5130228.215607857 0, 289616.5930058685 5130228.041110374 0, 289616.2440109015 5130218.047202104 0, 289611.2470567664 5130218.221699587 0, 289611.5960517334 5130228.215607857 0))",Coverage/Quad,User Created Features,86,2.2252197265625,5.25006103515625,3.9051671995119603,4443,17350.65786743164,195.275940806151,50.000000000347534
73,"POLYGON Z ((289616.5930058685 5130228.041110374 0, 289621.5899600036 5130227.86661289 0, 289621.2409650366 5130217.87270462 0, 289616.2440109015 5130218.047202104 0, 289616.5930058685 5130228.041110374 0))",Coverage/Quad,User Created Features,87,1.133880615234375,5.304901123046875,3.8194922138757597,4443,16970.00390625,190.99180582064938,50.00000000037662
74,"POLYGON Z ((289621.5899600036 5130227.86661289 0, 289626.5869141387 5130227.692115407 0, 289626.2379191716 5130217.698207136 0, 289621.2409650366 5130217.87270462 0, 289621.5899600036 5130227.86661289 0))",Coverage/Quad,User Created Features,88,1.267669677734375,5.4141845703125,4.156035819962628,4438,18444.48696899414,207.58662715134736,50.000000000347534
75,"POLYGON Z ((289626.5869141387 5130227.692115407 0, 289631.5838682738 5130227.517617923 0, 289631.2348733068 5130217.523709653 0, 289626.2379191716 5130217.698207136 0, 289626.5869141387 5130227.692115407 0))",Coverage/Quad,User Created Features,89,0.242156982421875,5.04229736328125,3.438447088727427,4444,15280.458862304688,171.97653271045294,50.000000000347534
